Country,date,daily_cases,cumulative_cases,latitude,longitude,Continents,SubRegion,deaths,cumulative_deaths
73,Andorra,2022-04-14,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
74,Andorra,2022-04-15,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
75,Andorra,2022-04-16,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
76,Andorra,2022-04-17,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
77,Andorra,2022-04-18,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
78,Andorra,2022-04-19,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
79,Andorra,2022-04-20,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
80,Andorra,2022-04-21,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
81,Andorra,2022-04-22,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
82,Andorra,2022-04-23,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
83,Andorra,2022-04-24,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
84,Andorra,2022-04-25,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
85,Andorra,2022-04-26,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
86,Andorra,2022-04-27,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
87,Andorra,2022-04-28,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
88,Andorra,2022-04-29,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
89,Andorra,2022-04-30,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
90,Andorra,2022-05-01,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
91,Andorra,2022-05-02,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
92,Andorra,2022-05-03,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
93,Andorra,2022-05-04,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
94,Andorra,2022-05-05,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
95,Andorra,2022-05-06,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
96,Andorra,2022-05-07,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
97,Andorra,2022-05-08,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
98,Andorra,2022-05-09,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
99,Andorra,2022-05-10,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
100,Andorra,2022-05-11,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
101,Andorra,2022-05-12,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
102,Andorra,2022-05-13,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
103,Andorra,2022-05-14,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
104,Andorra,2022-05-15,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
105,Andorra,2022-05-16,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
106,Andorra,2022-05-17,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
107,Andorra,2022-05-18,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
108,Andorra,2022-05-19,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
109,Andorra,2022-05-20,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
110,Andorra,2022-05-21,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
111,Andorra,2022-05-22,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
112,Andorra,2022-05-23,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
