DateRep,CountryExp,CountryCode,Source,ConfCases
2022-05-05,Portugal,PT,EI,0
2022-05-05,Romania,RO,TESSy,0
2022-05-05,Slovenia,SI,TESSy,0
2022-05-05,Spain,ES,TESSy,1
2022-05-05,Sweden,SE,TESSy,0
2022-05-06,Austria,AT,EI,0
2022-05-06,Belgium,BE,TESSy,0
2022-05-06,Czechia,CZ,TESSy,0
2022-05-06,Denmark,DK,EI,0
2022-05-06,Finland,FI,EI,0
2022-05-06,France,FR,EI,0
2022-05-06,Germany,DE,EI,0
2022-05-06,Greece,EL,TESSy,0
2022-05-06,Hungary,HU,TESSy,0
2022-05-06,Iceland,IS,EI,0
2022-05-06,Ireland,IE,TESSy,0
2022-05-06,Italy,IT,TESSy,0
2022-05-06,Latvia,LV,TESSy,0
2022-05-06,Luxembourg,LU,EI,0
2022-05-06,Malta,MT,TESSy,0
2022-05-06,Netherlands,NL,EI,0
2022-05-06,Norway,NO,TESSy,0
2022-05-06,Poland,PL,TESSy,0
2022-05-06,Portugal,PT,EI,0
2022-05-06,Romania,RO,TESSy,0
2022-05-06,Slovenia,SI,TESSy,0
2022-05-06,Spain,ES,TESSy,5
2022-05-06,Sweden,SE,TESSy,0
2022-05-07,Austria,AT,EI,0
2022-05-07,Belgium,BE,TESSy,0
2022-05-07,Czechia,CZ,TESSy,0
2022-05-07,Denmark,DK,EI,0
2022-05-07,Finland,FI,EI,0
2022-05-07,France,FR,EI,0
2022-05-07,Germany,DE,EI,0
2022-05-07,Greece,EL,TESSy,0
2022-05-07,Hungary,HU,TESSy,0
2022-05-07,Iceland,IS,EI,0
2022-05-07,Ireland,IE,TESSy,0
2022-05-07,Italy,IT,TESSy,0
2022-05-07,Latvia,LV,TESSy,0
2022-05-07,Luxembourg,LU,EI,0
2022-05-07,Malta,MT,TESSy,0
2022-05-07,Netherlands,NL,EI,0
2022-05-07,Norway,NO,TESSy,0
2022-05-07,Poland,PL,TESSy,0
2022-05-07,Portugal,PT,EI,0
2022-05-07,Romania,RO,TESSy,0
2022-05-07,Slovenia,SI,TESSy,0
2022-05-07,Spain,ES,TESSy,2
2022-05-07,Sweden,SE,TESSy,0
2022-05-08,Austria,AT,EI,0
2022-05-08,Belgium,BE,TESSy,0
2022-05-08,Czechia,CZ,TESSy,0
2022-05-08,Denmark,DK,EI,0
2022-05-08,Finland,FI,EI,0
2022-05-08,France,FR,EI,0
2022-05-08,Germany,DE,EI,0
2022-05-08,Greece,EL,TESSy,0
2022-05-08,Hungary,HU,TESSy,0
2022-05-08,Iceland,IS,EI,0
2022-05-08,Ireland,IE,TESSy,0
2022-05-08,Italy,IT,TESSy,0
2022-05-08,Latvia,LV,TESSy,0
2022-05-08,Luxembourg,LU,EI,0
2022-05-08,Malta,MT,TESSy,0
